Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;20.83;0;24572;0.13;0;0;0;0;15.4;79.03;0;
DESKTOP-8JEBTPG;_ALL;_ALL;0;20.83;0;24572;0.13;0;0;0;0;15.4;79.03;0;
DESKTOP-8JEBTPG;2153;_ALL;0;20.83;0;24572;0.13;0;0;0;0;15.4;79.03;0;
DESKTOP-8JEBTPG;2153;2166;0;22.07;0;3068;0.2;0;0;0;0;15.34;77.74;0;
DESKTOP-8JEBTPG;2153;2164;0;20.66;0;3074;0.16;0;0;0;0;15.37;79.18;0;
DESKTOP-8JEBTPG;2153;2162;0;20.5;0;3078;0.13;0;0;0;0;15.39;79.37;0;
DESKTOP-8JEBTPG;2153;2163;0;20.25;0;3081;0.19;0;0;0;0;15.4;79.55;0;
DESKTOP-8JEBTPG;2153;2167;0;21.64;0;3073;0.1;0;0;0;0;15.37;78.26;0;
DESKTOP-8JEBTPG;2153;2153;0;20.24;0;3059;0.13;0.03;0;0;0;15.3;79.6;0;
DESKTOP-8JEBTPG;2153;2165;0;20.59;0;3060;0.07;0;0;0;0;15.3;79.35;0;
DESKTOP-8JEBTPG;2153;2168;0;20.72;0;3079;0.1;0;0;0;0;15.4;79.18;0;
