address;source_location;insn;indent
0x1369;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;ENDBR64;
0x136d;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;PUSH	%R15;
0x136f;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;PUSH	%R14;
0x1371;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;PUSH	%R13;
0x1373;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;PUSH	%R12;
0x1375;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;PUSH	%RBP;
0x1376;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;PUSH	%RBX;
0x1377;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;ADD	$-0x80,%RSP;
0x137b;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	%RDI,%RAX;
0x137e;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	%RDI,0x40(%RSP);
0x1383;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	%FS:0x28,%RDI;
0x138c;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	%RDI,0x70(%RSP);
0x1391;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;XOR	%EDI,%EDI;
0x1393;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	0x8(%RAX),%R15;
0x1397;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;VMOVSS	0x10(%RAX),%XMM5;
0x139c;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;VMOVSS	%XMM5,0x2c(%RSP);
0x13a2;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	(%RAX),%RBX;
0x13a5;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	%RBX,0x38(%RSP);
0x13aa;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;LEA	0x58(%RSP),%RAX;
0x13af;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;PUSH	%RAX;
0x13b0;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;LEA	0x58(%RSP),%R9;
0x13b5;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	$0x1,%R8D;
0x13bb;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	$0x1,%ECX;
0x13c0;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	%R15,%RDX;
0x13c3;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	$0,%ESI;
0x13c8;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	$0x1,%EDI;
0x13cd;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;CALL	1200 <.plt.sec@start+0xa0>;
0x13d2;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;ADD	$0x10,%RSP;
0x13d6;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;TEST	%AL,%AL;
0x13d8;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;JE	1533 <move_particles._omp_fn.0+0x1ca>;
0x13de;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	%RBX,0x28(%RSP);
0x13e3;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;LEA	(%R15,%R15,2),%RAX;
0x13e7;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;LEA	(%RBX,%RAX,8),%R12;
0x13eb;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:147;MOV	0x48(%RSP),%R13;(3) 
