function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
6;nbody3DIC;main;;90.82;1.05;0.9;0.93;0.94;4.8333959579468;0.011952307075262;8;"100,0,0,0,0,0,0,0,0,0";main;
1021;libiomp5.so;bool _INTERNAL8eaaea23::__kmp_wait_template<kmp_flag_64<false, true>, true, false, true>(kmp_info*, kmp_flag_64<false, true>*, void*);;4.47;0.05;0.03;0.05;0.06;1.0993515253067;0.011126972734928;7;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2319__kmp_wait_templateI11kmp_flag_64ILb0ELb1EELb1ELb0ELb1EEEbP8kmp_infoPT_Pv;
11;ld-2.31.so;_dl_rtld_di_serinfo;;1.53;0.02;0.13;0.13;0.13;0;0;1;"0,0,0,0,100,0,0,0,0,0";_dl_rtld_di_serinfo;
1023;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_gather(barrier_type, kmp_info*, int, int, void (*)(void*, void*), void*);;0.86;0.01;0;0.02;0.04;1.3165628910065;0.015000000596046;4;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_;
1065;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::notdone_check();;0.8;0.01;0;0.01;0.02;0.77335423231125;0.0078679574653506;7;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE13notdone_checkEv;
1114;libiomp5.so;__kmpc_single;;0.37;0;0;0;0;0.0086189582943916;3.6069969233665e-10;6;"0,0,100,0,0,0,0,0,0,0";__kmpc_single;
1859;libc-2.31.so;_dl_addr;;0.24;0;0.02;0.02;0.02;0;0;1;"0,0,0,0,100,0,0,0,0,0";_dl_addr;
1038;libiomp5.so;_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;;0.18;0;0;0.01;0.01;0.39399895071983;0.0035355337895453;2;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;
12092;libmkl_core.so.2;__sti__$E;;0.06;0;0;0;0;0;0;1;"0,0,0,100,0,0,0,0,0,0";__sti__$E;
4421;libmkl_intel_thread.so.2;mkl_serv_unlock@plt;;0.06;0;0;0;0;0;0;1;"0,0,0,100,0,0,0,0,0,0";mkl_serv_unlock@plt;
3158;libiomp5.so;__intel_avx_rep_memset;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__intel_avx_rep_memset;
2790;libiomp5.so;__sti__$E;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__sti__$E;
2662;libiomp5.so;__kmp_yield;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__kmp_yield;
1757;libc-2.31.so;pmap_getport;;0.06;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";pmap_getport;
1621;libiomp5.so;__kmp_i18n_catopen;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__kmp_i18n_catopen;
949;libc-2.31.so;__sched_yield;;0.06;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";__sched_yield;
506;libiomp5.so;__kmp_init_memkind;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__kmp_init_memkind;
252;libm-2.31.so;__atan2_finite;;0.06;0;0;0;0;0;0;1;"0,0,0,100,0,0,0,0,0,0";__atan2_finite;
164;libiomp5.so;__kmp_itt_init_ittlib;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__kmp_itt_init_ittlib;
12;ld-2.31.so;_dl_debug_state;;0.06;0;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";_dl_debug_state;
