Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;1.96;90.82;0;1634;7.04;0;0;0;0;1.15;0.18;0;
DESKTOP-8JEBTPG;_ALL;_ALL;1.96;90.82;0;1634;7.04;0;0;0;0;1.15;0.18;0;
DESKTOP-8JEBTPG;2197;_ALL;1.96;90.82;0;1634;7.04;0;0;0;0;1.15;0.18;0;
DESKTOP-8JEBTPG;2197;2206;0;92.61;0;203;7.39;0;0;0;0;1.01;0;0;
DESKTOP-8JEBTPG;2197;2209;0.5;92.08;0;202;7.43;0;0;0;0;1.01;0;0;
DESKTOP-8JEBTPG;2197;2197;13.42;79.22;0;231;6.06;0;0;0;0;1.15;1.3;0;
DESKTOP-8JEBTPG;2197;2207;0;93.3;0;194;6.7;0;0;0;0;0.97;0;0;
DESKTOP-8JEBTPG;2197;2212;0;94;0;200;6;0;0;0;0;1;0;0;
DESKTOP-8JEBTPG;2197;2210;0;91.63;0;203;8.37;0;0;0;0;1.01;0;0;
DESKTOP-8JEBTPG;2197;2208;0;93;0;200;7;0;0;0;0;1;0;0;
DESKTOP-8JEBTPG;2197;2211;0;92.54;0;201;7.46;0;0;0;0;1;0;0;
