address;source_location;insn;indent
0x402d7a;:0;MOV	(%R14),%RSI;
0x402d7d;:0;CMP	$0x8,%R13;
0x402d81;:0;VXORPS	%XMM4,%XMM4,%XMM4;
0x402d85;:0;VMOVAPS	%XMM4,%XMM5;
0x402d89;:0;VMOVAPS	%XMM5,%XMM6;
0x402d8d;:0;LEA	(%RSI,%RDX,8),%RCX;
0x402d91;:0;VMOVSS	(%RCX,%RDI,1),%XMM11;
0x402d96;:0;VMOVSS	0x4(%RCX,%RDI,1),%XMM12;
0x402d9c;:0;VMOVSS	0x8(%RCX,%RDI,1),%XMM1;
0x402da2;:0;JB	40301d <main+0xc7d>;
0x402da8;:0;VBROADCASTSS	%XMM11,%YMM7;
0x402dad;:0;MOV	%RBX,%R8;
0x402db0;:0;VMOVUPS	0xd2a8(%RIP),%XMM4;
0x402db8;:0;VMOVSS	%XMM12,0x48(%RSP);
0x402dbe;:0;VMOVSS	%XMM11,0x50(%RSP);
0x402dc4;:0;VXORPS	%YMM2,%YMM2,%YMM2;
0x402dc8;:0;XOR	%ECX,%ECX;
0x402dca;:0;VMOVDQA	%YMM2,%YMM3;
0x402dce;:0;VMOVDQA	%YMM3,%YMM8;
0x402dd2;:0;VBROADCASTSS	%XMM12,%YMM6;
0x402dd7;:0;VBROADCASTSS	%XMM1,%YMM5;
0x402ddc;:0;VBROADCASTSS	0xd2c3(%RIP),%YMM0;
0x402de5;:0;LEA	(%RCX,%RCX,2),%R9;  (5) 
0x402de9;:0;ADD	$0x8,%RCX;  (5) 
0x402ded;:0;CMP	%RBX,%RCX;  (5) 
0x402df0;:0;LEA	(%RSI,%R9,8),%R9;  (5) 
0x402df4;:0;VMASKMOVPS	(%R9),%XMM4,%XMM10;  (5) 
0x402df9;:0;VMASKMOVPS	0x60(%R9),%XMM4,%XMM11;  (5) 
0x402dff;:0;VINSERTF128	$0x1,%XMM11,%YMM10,%YMM14;  (5) 
0x402e05;:0;VMASKMOVPS	0x30(%R9),%XMM4,%XMM10;  (5) 
0x402e0b;:0;VMASKMOVPS	0x18(%R9),%XMM4,%XMM15;  (5) 
0x402e11;:0;VMASKMOVPS	0x78(%R9),%XMM4,%XMM12;  (5) 
0x402e17;:0;VMASKMOVPS	0x90(%R9),%XMM4,%XMM11;  (5) 
0x402e20;:0;VINSERTF128	$0x1,%XMM12,%YMM15,%YMM13;  (5) 
0x402e26;:0;VINSERTF128	$0x1,%XMM11,%YMM10,%YMM12;  (5) 
0x402e2c;:0;VMASKMOVPS	0x48(%R9),%XMM4,%XMM10;  (5) 
0x402e32;:0;VMASKMOVPS	0xa8(%R9),%XMM4,%XMM11;  (5) 
0x402e3b;:0;VINSERTF128	$0x1,%XMM11,%YMM10,%YMM11;  (5) 
0x402e41;:0;VSHUFPS	$0x14,%YMM13,%YMM14,%YMM10;  (5) 
0x402e47;:0;VSHUFPS	$0x41,%YMM12,%YMM11,%YMM15;  (5) 
0x402e4d;:0;VSHUFPS	$-0x7e,%YMM13,%YMM14,%YMM13;  (5) 
0x402e53;:0;VSHUFPS	$0x28,%YMM12,%YMM11,%YMM14;  (5) 
0x402e59;:0;VSHUFPS	$0x6c,%YMM15,%YMM10,%YMM12;  (5) 
0x402e5f;:0;VSHUFPS	$0x39,%YMM15,%YMM10,%YMM15;  (5) 
0x402e65;:0;VSUBPS	%YMM7,%YMM12,%YMM10;  (5) 
0x402e69;:0;VSUBPS	%YMM6,%YMM15,%YMM15;  (5) 
0x402e6d;:0;VSHUFPS	$0x6c,%YMM14,%YMM13,%YMM11;  (5) 
0x402e73;:0;VMOVDQA	%YMM9,%YMM13;  (5) 
0x402e78;:0;VFMADD231PS	%YMM10,%YMM10,%YMM13;  (5) 
0x402e7d;:0;VSUBPS	%YMM5,%YMM11,%YMM11;  (5) 
0x402e81;:0;VFMADD231PS	%YMM15,%YMM15,%YMM13;  (5) 
0x402e86;:0;VFMADD231PS	%YMM11,%YMM11,%YMM13;  (5) 
0x402e8b;:0;VCVTPS2PD	%XMM13,%YMM14;  (5) 
0x402e90;:0;VEXTRACTF128	$0x1,%YMM13,%XMM12;  (5) 
0x402e96;:0;VCVTPS2PD	%XMM12,%YMM13;  (5) 
0x402e9b;:0;VSQRTPD	%YMM14,%YMM12;  (5) 
0x402ea0;:0;VMULPD	%YMM14,%YMM12,%YMM14;  (5) 
