Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;1.11;95.96;0;1809;2.65;0.06;0;0;0.06;1.23;0.17;0;
DESKTOP-8JEBTPG;_ALL;_ALL;1.11;95.96;0;1809;2.65;0.06;0;0;0.06;1.23;0.17;0;
DESKTOP-8JEBTPG;2254;_ALL;1.11;95.96;0;1809;2.65;0.06;0;0;0.06;1.23;0.17;0;
DESKTOP-8JEBTPG;2254;2264;0.44;96.44;0;225;3.11;0;0;0;0;1.12;0;0;
DESKTOP-8JEBTPG;2254;2254;6.88;87.85;0;247;3.24;0.4;0;0;0.4;1.23;1.21;0;
DESKTOP-8JEBTPG;2254;2263;0.45;96.43;0;224;3.13;0;0;0;0;1.12;0;0;
DESKTOP-8JEBTPG;2254;2265;0;96.89;0;225;3.11;0;0;0;0;1.12;0;0;
DESKTOP-8JEBTPG;2254;2266;0;97.31;0;223;2.69;0;0;0;0;1.11;0;0;
DESKTOP-8JEBTPG;2254;2267;0;98.18;0;220;1.82;0;0;0;0;1.1;0;0;
DESKTOP-8JEBTPG;2254;2268;0;98.18;0;220;1.82;0;0;0;0;1.1;0;0;
DESKTOP-8JEBTPG;2254;2269;0.44;97.33;0;225;2.22;0;0;0;0;1.12;0;0;
