function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
11;nbody3DCX;move_particles.extracted;;95.96;1.19;1.08;1.08;1.09;3.3909292221069;0.0053451559506357;8;"100,0,0,0,0,0,0,0,0,0";move_particles.extracted;
1021;libiomp5.so;bool _INTERNAL8eaaea23::__kmp_wait_template<kmp_flag_64<false, true>, true, false, true>(kmp_info*, kmp_flag_64<false, true>*, void*);;1.88;0.02;0.01;0.02;0.03;0.58516335487366;0.0067259250208735;7;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2319__kmp_wait_templateI11kmp_flag_64ILb0ELb1EELb1ELb0ELb1EEEbP8kmp_infoPT_Pv;
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.83;0.01;0.07;0.07;0.07;0;0;1;"0,0,0,0,100,0,0,0,0,0";_dl_rtld_di_serinfo;
1038;libiomp5.so;_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;;0.22;0;0.01;0.01;0.01;0.06162029504776;0;2;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;
1643;libc-2.31.so;__res_randomid;;0.17;0;0;0;0;0.0011454974301159;3.2927224835611e-10;3;"0,0,0,0,100,0,0,0,0,0";__res_randomid;
1023;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_gather(barrier_type, kmp_info*, int, int, void (*)(void*, void*), void*);;0.17;0;0.01;0.01;0.01;0;0;1;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_;
1859;libc-2.31.so;_dl_addr;;0.11;0;0.01;0.01;0.01;0;0;1;"0,0,0,0,100,0,0,0,0,0";_dl_addr;
1065;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::notdone_check();;0.11;0;0;0;0;0.0057394737377763;0;2;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE13notdone_checkEv;
30894;libmkl_core.so.2;mkl_serv_strnlen_s;;0.06;0;0;0;0;0;0;1;"0,0,0,100,0,0,0,0,0,0";mkl_serv_strnlen_s;
2790;libiomp5.so;__sti__$E;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__sti__$E;
2218;libiomp5.so;__kmp_common_destroy_gtid;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__kmp_common_destroy_gtid;
2078;libiomp5.so;_INTERNAL5aa4a1df::__kmp_stg_cmp(void const*, void const*);;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL5aa4a1df13__kmp_stg_cmpEPKvS1_;
1481;libiomp5.so;__sti__$E;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__sti__$E;
1185;libiomp5.so;__kmpc_dispatch_next_8u;;0.06;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";__kmpc_dispatch_next_8u;
373;libc-2.31.so;_IO_puts;;0.06;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_puts;
255;libm-2.31.so;__exp_finite;;0.06;0;0;0;0;0;0;1;"0,0,0,100,0,0,0,0,0,0";__exp_finite;
232;libc-2.31.so;random;;0.06;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";random;
0;libmkl_intel_lp64.so.2;_init;;0.06;0;0;0;0;0;0;1;"0,0,0,100,0,0,0,0,0,0";_init;
