group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;LLLL;VMOVSS,VMOVSS,VMOVSS,VMOVSS,;0,4,8,12,;0x1467,0x1534,0x1601,0x16ce,;Not mono block loop;0;Success;16;16;0;16;0;4;
4;LLLL;VSUBSS,VSUBSS,VSUBSS,VSUBSS,;0,0,0,0,;0x1444,0x1510,0x15dd,0x16aa,;Not mono block loop;0;Success;16;4;12;4;0;4;
4;LLLL;VSUBSS,VSUBSS,VSUBSS,VSUBSS,;0,0,0,0,;0x146c,0x153a,0x1607,0x16d4,;Not mono block loop;0;Success;16;4;12;4;0;4;
12;LLLLLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,8,16,0,8,16,0,8,16,0,8,16,;0x143c,0x144f,0x1463,0x1507,0x151b,0x1530,0x15d4,0x15e8,0x15fd,0x16a1,0x16b5,0x16ca,;Not mono block loop;0;Success;96;24;72;24;0;3;
64;SSSSSLLLLSLLSLLSSSSSSLLLLSLLSLLSSSSSSLLLLSLLSLLSSSSSSLLLLSLLSLLS;VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMULSS,VMULSS,VADDSS,VMOVSS,VMULSS,VADDSS,VMOVSS,VMULSS,VADDSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMULSS,VMULSS,VADDSS,VMOVSS,VMULSS,VADDSS,VMOVSS,VMULSS,VADDSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMULSS,VMULSS,VADDSS,VMOVSS,VMULSS,VADDSS,VMOVSS,VMULSS,VADDSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMULSS,VMULSS,VADDSS,VMOVSS,VMULSS,VADDSS,VMOVSS,VMULSS,VADDSS,VMOVSS,;16,20,24,12,28,12,28,16,8,8,20,4,4,24,0,12,16,20,24,0,28,0,28,16,8,8,20,4,4,24,12,12,16,20,24,0,28,0,28,16,8,8,20,4,4,24,12,12,16,20,24,0,28,0,28,16,8,8,20,4,4,24,12,0,;0x1449,0x145d,0x1471,0x1493,0x149d,0x14b1,0x14b7,0x14cd,0x14d3,0x14d9,0x14df,0x14e5,0x14eb,0x14f1,0x14f7,0x14fc,0x1515,0x152a,0x153f,0x1561,0x156a,0x157e,0x1583,0x1599,0x159f,0x15a5,0x15ab,0x15b1,0x15b7,0x15bd,0x15c3,0x15c9,0x15e2,0x15f7,0x160c,0x162e,0x1637,0x164b,0x1650,0x1666,0x166c,0x1672,0x1678,0x167e,0x1684,0x168a,0x1690,0x1696,0x16af,0x16c4,0x16d9,0x16fb,0x1704,0x1718,0x171d,0x1733,0x1739,0x173f,0x1745,0x174b,0x1751,0x1757,0x175d,0x1763,;Not mono block loop;0;Success;256;32;224;32;0;1;
4;LLLL;MOV,MOV,MOV,MOV,;24,24,24,24,;0x1437,0x1502,0x15cf,0x169c,;Not mono block loop;0;Success;32;8;24;8;0;4;
4;LLLL;VMOVSS,VMOVSS,VMOVSS,VMOVSS,;0,4,8,12,;0x143f,0x150a,0x15d7,0x16a4,;Not mono block loop;0;Success;16;16;0;16;0;4;
4;LLLL;VSUBSS,VSUBSS,VSUBSS,VSUBSS,;0,0,0,0,;0x1458,0x1525,0x15f2,0x16bf,;Not mono block loop;0;Success;16;4;12;4;0;4;
8;LLLLLLLL;VADDSS,VMOVSS,VADDSS,VMOVSS,VADDSS,VMOVSS,VADDSS,VMOVSS,;7309,7263,7103,7059,6898,6854,6693,6649,;0x148b,0x14bd,0x1559,0x1589,0x1626,0x1656,0x16f3,0x1723,;Not mono block loop;0;Success;32;32;0;664;0;1;
4;LLLL;VMOVSS,VMOVSS,VMOVSS,VMOVSS,;0,4,8,12,;0x1453,0x151f,0x15ec,0x16b9,;Not mono block loop;0;Success;16;16;0;16;0;4;
