Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;1.57;36.6;0;1530;61.7;0;0;0;0;1.07;0.13;0;
DESKTOP-8JEBTPG;_ALL;_ALL;1.57;36.6;0;1530;61.7;0;0;0;0;1.07;0.13;0;
DESKTOP-8JEBTPG;2537;_ALL;1.57;36.6;0;1530;61.7;0;0;0;0;1.07;0.13;0;
DESKTOP-8JEBTPG;2537;2552;0.53;38.95;0;190;60.53;0;0;0;0;0.95;0;0;
DESKTOP-8JEBTPG;2537;2548;0.52;37.7;0;191;61.78;0;0;0;0;0.95;0;0;
DESKTOP-8JEBTPG;2537;2537;8.88;39.25;0;214;50.93;0;0;0;0;1.07;0.93;0;
DESKTOP-8JEBTPG;2537;2546;0.54;36.02;0;186;63.44;0;0;0;0;0.93;0;0;
DESKTOP-8JEBTPG;2537;2547;0;37.89;0;190;62.11;0;0;0;0;0.95;0;0;
DESKTOP-8JEBTPG;2537;2549;1.05;32.63;0;190;66.32;0;0;0;0;0.95;0;0;
DESKTOP-8JEBTPG;2537;2550;0;39.78;0;181;60.22;0;0;0;0;0.9;0;0;
DESKTOP-8JEBTPG;2537;2551;0;30.32;0;188;69.68;0;0;0;0;0.94;0;0;
