function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
1021;libiomp5.so;bool _INTERNAL8eaaea23::__kmp_wait_template<kmp_flag_64<false, true>, true, false, true>(kmp_info*, kmp_flag_64<false, true>*, void*);;38.63;0.41;0.3;0.42;0.49;7.0405979156494;0.064216896891594;7;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2319__kmp_wait_templateI11kmp_flag_64ILb0ELb1EELb1ELb0ELb1EEEbP8kmp_infoPT_Pv;
7;nbody3DIC;move_particles;;37.06;0.4;0.29;0.35;0.43;3.2886872291565;0.041355341672897;8;"98.765431867508,0,1.2345681324916,0,0,0,0,0,0,0";move_particles;
1023;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_gather(barrier_type, kmp_info*, int, int, void (*)(void*, void*), void*);;8.17;0.09;0;0.09;0.22;9.4384717941284;0.094974905252457;7;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_;
1065;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::notdone_check();;4.9;0.05;0.02;0.05;0.07;1.57310962677;0.014623241499066;8;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE13notdone_checkEv;
1038;libiomp5.so;_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;;3.66;0.04;0;0.04;0.17;5.9123635292053;0.062716275453568;7;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;
1027;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_release(barrier_type, kmp_info*, int, int, int, void*);;1.63;0.02;0;0.02;0.03;1.3445364236832;0.013570798560977;6;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2327__kmp_hyper_barrier_releaseE12barrier_typeP8kmp_infoiiiPv;
11;ld-2.31.so;_dl_rtld_di_serinfo;;1.18;0.01;0.09;0.09;0.09;0;0;1;"0,0,0,0,100,0,0,0,0,0";_dl_rtld_di_serinfo;
1153;libiomp5.so;__kmpc_reduce;;0.52;0.01;0;0.01;0.01;0.47405031323433;0.0044721351005137;5;"0,0,100,0,0,0,0,0,0,0";__kmpc_reduce;
1063;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::done_check();;0.52;0.01;0;0.01;0.01;0.24484184384346;0.0025819884613156;6;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE10done_checkEv;
1827;libiomp5.so;__kmp_enter_single;;0.46;0;0;0.01;0.01;0.27648633718491;0.0024999994784594;4;"0,0,100,0,0,0,0,0,0,0";__kmp_enter_single;
1041;libiomp5.so;__kmp_join_barrier(int);;0.33;0;0;0.01;0.01;0.5955536365509;0.005773501470685;3;"0,0,100,0,0,0,0,0,0,0";_Z18__kmp_join_barrieri;
949;libc-2.31.so;__sched_yield;;0.33;0;0;0.01;0.01;0.26180171966553;0.0024999994784594;4;"0,0,0,0,100,0,0,0,0,0";__sched_yield;
1923;libiomp5.so;__kmpc_for_static_init_8u;;0.26;0;0;0;0;0.037704650312662;3.8021086279372e-10;4;"0,0,100,0,0,0,0,0,0,0";__kmpc_for_static_init_8u;
1860;libiomp5.so;__kmp_fork_call;;0.26;0;0.02;0.02;0.02;0;0;1;"0,0,100,0,0,0,0,0,0,0";__kmp_fork_call;
