function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
1021;libiomp5.so;bool _INTERNAL8eaaea23::__kmp_wait_template<kmp_flag_64<false, true>, true, false, true>(kmp_info*, kmp_flag_64<false, true>*, void*);;52.69;0.49;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2319__kmp_wait_templateI11kmp_flag_64ILb0ELb1EELb1ELb0ELb1EEEbP8kmp_infoPT_Pv;
7;nbody3DIC;move_particles;;36.02;0.33;;;;;;;"100,0,0,0,0,0,0,0,0,0";move_particles;
1065;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::notdone_check();;4.84;0.04;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE13notdone_checkEv;
1879;libiomp5.so;__kmp_determine_reduction_method;;1.08;0.01;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_determine_reduction_method;
1827;libiomp5.so;__kmp_enter_single;;1.08;0.01;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_enter_single;
2207;libiomp5.so;__kmp_init_implicit_task;;0.54;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_init_implicit_task;
2173;libiomp5.so;__kmp_task_team_sync;;0.54;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_task_team_sync;
2152;libiomp5.so;__kmp_finish_implicit_task;;0.54;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_finish_implicit_task;
1923;libiomp5.so;__kmpc_for_static_init_8u;;0.54;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmpc_for_static_init_8u;
1855;libiomp5.so;__kmp_invoke_task_func;;0.54;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_invoke_task_func;
1039;libiomp5.so;__kmp_barrier;;0.54;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_barrier;
1038;libiomp5.so;_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;;0.54;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;
949;libc-2.31.so;__sched_yield;;0.54;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";__sched_yield;
