address;source_location;insn;indent
0x4028d1;:0;MOV	%RAX,0x40(%RSP);
0x4028d6;:0;MOV	$0x43222c,%EDI;
0x4028db;:0;XOR	%EAX,%EAX;
0x4028dd;:0;MOV	%EBX,0x34(%RSP);
0x4028e1;:0;MOV	%EBX,0x50(%RSP);
0x4028e5;:0;MOV	%EBX,0x54(%RSP);
0x4028e9;:0;CALL	4021b0 <__kmpc_ok_to_fork@plt>;
0x4028ee;:0;TEST	%EAX,%EAX;
0x4028f0;:0;JE	402976 <move_particles+0x116>;
0x4028f6;:0;ADD	$-0x50,%RSP;
0x4028fa;:0;LEA	0x10(%RBP),%RSI;
0x4028fe;:0;MOV	$0x402ad5,%EDX;
0x402903;:0;LEA	0xa0(%RSP),%R10;
0x40290b;:0;XOR	%EAX,%EAX;
0x40290d;:0;LEA	0x4(%R10),%R11;
0x402911;:0;LEA	-0x18(%R10),%R12;
0x402915;:0;MOV	%R10,(%RSP);
0x402919;:0;LEA	-0x10(%R10),%R13;
0x40291d;:0;MOV	%R11,0x8(%RSP);
0x402922;:0;LEA	0x50(%RSP),%R14;
0x402927;:0;MOV	%R12,0x10(%RSP);
0x40292c;:0;LEA	-0x48(%R10),%R15;
0x402930;:0;MOV	%R13,0x18(%RSP);
0x402935;:0;LEA	0x8(%RSI),%RDI;
0x402939;:0;MOV	%R14,0x20(%RSP);
0x40293e;:0;LEA	(%RSI),%RCX;
0x402941;:0;MOV	%R15,0x28(%RSP);
0x402946;:0;LEA	-0x20(%R10),%R8;
0x40294a;:0;MOV	%RSI,0x30(%RSP);
0x40294f;:0;MOV	$0xc,%ESI;
0x402954;:0;MOV	%RDI,0x38(%RSP);
0x402959;:0;MOV	$0x43222c,%EDI;
0x40295e;:0;LEA	0x4(%R8),%R9;
0x402962;:0;LEA	0x10(%RCX),%R10;
0x402966;:0;MOV	%R10,0x40(%RSP);
0x40296b;:0;CALL	402140 <__kmpc_fork_call@plt>;
0x402970;:0;ADD	$0x50,%RSP;
0x402974;:0;JMP	4029e7 <move_particles+0x187>;
0x402976;:0;MOV	$0x43222c,%EDI;
0x40297b;:0;XOR	%EAX,%EAX;
0x40297d;:0;MOV	0x2c(%RSP),%ESI;
0x402981;:0;CALL	4021a0 <__kmpc_serialized_parallel@plt>;
0x402986;:0;MOV	$0x442d4c,%ESI;
0x40298b;:0;LEA	0x20(%RBP),%RAX;
0x40298f;:0;LEA	0x2c(%RSP),%RDI;
0x402994;:0;PUSH	%RAX;
0x402995;:0;LEA	-0x8(%RAX),%R10;
0x402999;:0;PUSH	%R10;
0x40299b;:0;LEA	-0x10(%RAX),%R11;
0x40299f;:0;PUSH	%R11;
0x4029a1;:0;MOV	%R11,%RDX;
0x4029a4;:0;LEA	-0x24(%RDI),%R12;
0x4029a8;:0;PUSH	%R12;
0x4029aa;:0;LEA	0x20(%RSP),%R13;
0x4029af;:0;PUSH	%R13;
0x4029b1;:0;LEA	0x14(%RDI),%R14;
0x4029b5;:0;PUSH	%R14;
0x4029b7;:0;LEA	0xc(%RDI),%R15;
0x4029bb;:0;PUSH	%R15;
0x4029bd;:0;LEA	0x28(%RDI),%RAX;
0x4029c1;:0;PUSH	%RAX;
0x4029c2;:0;LEA	-0x24(%RAX),%RCX;
0x4029c6;:0;LEA	-0x20(%RAX),%R8;
0x4029ca;:0;LEA	-0x4(%RAX),%R9;
0x4029ce;:0;CALL	402ad5 <move_particles+0x275>;
0x4029d3;:0;ADD	$0x40,%RSP;
0x4029d7;:0;MOV	$0x43222c,%EDI;
0x4029dc;:0;XOR	%EAX,%EAX;
0x4029de;:0;MOV	0x2c(%RSP),%ESI;
0x4029e2;:0;CALL	402270 <__kmpc_end_serialized_parallel@plt>;
0x4029e7;:0;MOV	0x40(%RSP),%RAX;
0x4029ec;:0;MOV	0x28(%RBP),%RDX;
0x4029f0;:0;VMOVSS	0x34(%RSP),%XMM0;
0x4029f6;:0;VMOVSS	0x48(%RSP),%XMM2;
0x4029fc;:0;VFMADD213SS	(%RDX,%RAX,4),%XMM2,%XMM0;
0x402a02;:0;VMOVSS	0x50(%RSP),%XMM1;
0x402a08;:0;VMOVSS	0x54(%RSP),%XMM3;
0x402a0e;:0;VMOVSS	%XMM0,(%RDX,%RAX,4);
0x402a13;:0;MOV	0x30(%RBP),%RCX;
0x402a17;:0;MOV	0x38(%RBP),%RSI;
0x402a1b;:0;MOV	0x38(%RSP),%R8;
0x402a20;:0;VFMADD213SS	(%RCX,%RAX,4),%XMM2,%XMM1;
0x402a26;:0;VMOVSS	%XMM1,(%RCX,%RAX,4);
0x402a2b;:0;VFMADD213SS	(%RSI,%RAX,4),%XMM2,%XMM3;
0x402a31;:0;VMOVSS	%XMM3,(%RSI,%RAX,4);
0x402a36;:0;INC	%RAX;
0x402a39;:0;CMP	%R8,%RAX;
0x402a3c;:0;JB	4028d1 <move_particles+0x71>;
