Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.25;46.62;0;2029;53.13;0;0;0;0;1.28;0;0;
DESKTOP-8JEBTPG;_ALL;_ALL;0.25;46.62;0;2029;53.13;0;0;0;0;1.28;0;0;
DESKTOP-8JEBTPG;2563;_ALL;0.25;46.62;0;2029;53.13;0;0;0;0;1.28;0;0;
DESKTOP-8JEBTPG;2563;2573;0.39;46.88;0;256;52.73;0;0;0;0;1.28;0;0;
DESKTOP-8JEBTPG;2563;2574;0;48.82;0;254;51.18;0;0;0;0;1.27;0;0;
DESKTOP-8JEBTPG;2563;2563;0.4;46.03;0;252;53.57;0;0;0;0;1.26;0;0;
DESKTOP-8JEBTPG;2563;2576;0.4;45.85;0;253;53.75;0;0;0;0;1.26;0;0;
DESKTOP-8JEBTPG;2563;2572;0;43.03;0;251;56.97;0;0;0;0;1.25;0;0;
DESKTOP-8JEBTPG;2563;2577;0;50.79;0;254;49.21;0;0;0;0;1.27;0;0;
DESKTOP-8JEBTPG;2563;2575;0.39;44.71;0;255;54.9;0;0;0;0;1.27;0;0;
DESKTOP-8JEBTPG;2563;2578;0.39;46.85;0;254;52.76;0;0;0;0;1.27;0;0;
